Epoch,Group_ID,Selected_Clients,Client_Count,Max_Delay,Accuracy,Loss,Run_Time
1532,4,88;25;80;2;86;51;75;76;73;7,10,8.25,79.43709935897436,0.5418128015903326,2806.687283039093
1533,2,85;59;46;61;24;84;18;95;36;22,10,9.07,79.58733974358974,0.5437606611312964,2807.296672821045
1534,1,49;99;40;13;26;57;44;15;14;5,10,9.09,79.16666666666667,0.5520247706235983,2808.624894618988
1535,0,58;72;1;42;55;52;32;77;10;11,10,8.42,73.17708333333333,0.664590998337819,2810.55339550972
1536,3,27;93;3;20;87;9;48;30;91;65,10,8.74,80.45873397435898,0.524878305884508,2812.080722093582
1537,4,51;67;73;76;86;12;94;80;88;62,10,8.25,75.09014423076923,0.6167673671092743,2815.7094786167145
1538,2,22;95;23;59;19;89;0;64;84;97,10,7.93,78.91626602564102,0.543022985641773,2816.2253534793854
1539,1,56;49;37;44;4;99;66;21;57;31,10,8.64,74.66947115384616,0.6724559492789782,2817.8512506484985
1540,0,6;29;68;98;42;33;58;50;69;10,10,8.35,76.77283653846153,0.5930294107932311,2819.4524219036102
1541,3,27;17;3;48;30;8;28;74;54;81,10,8.74,79.61738782051282,0.5338308211320486,2821.3856449127197
1542,4,80;76;94;35;92;67;75;70;2;86,10,8.05,71.08373397435898,0.6791271769847625,2824.5417652130127
1543,2,64;97;39;22;46;82;59;19;36;63,10,7.93,78.91626602564102,0.5527398674151837,2825.0534579753876
1544,1,99;26;15;31;37;13;56;57;14;5,10,9.04,74.93990384615384,0.6483939121931027,2827.4792568683624
1545,0,11;58;50;98;72;69;29;10;52;83,10,7.94,74.79967948717949,0.697917558825933,2828.2871952056885
1546,3,47;74;87;91;38;54;9;27;28;93,10,8.82,79.55729166666667,0.5401714967611508,2830.8314592838287
1547,4,35;7;75;92;88;25;12;2;80;73,10,8.26,74.08854166666667,0.7312919138333737,2833.5833728313446
1548,2,36;23;60;46;0;64;82;59;19;85,10,7.93,79.89783653846153,0.5403253844915292,2834.1660878658295
1549,0,42;77;52;83;69;10;29;32;34;98,10,8.38,73.9483173076923,0.7838305647556598,2837.5246810913086
1550,1,99;56;66;26;31;40;15;37;79;5,10,9.18,76.49238782051282,0.6190695246824851,2838.011983156204
1551,3,74;17;47;87;38;8;54;27;28;91,10,8.82,77.4639423076923,0.5764931306625024,2840.237335205078
1552,4,2;92;35;25;86;53;7;75;62;88,10,7.38,76.8729967948718,0.6270696322123209,2841.5247192382812
1553,2,22;59;41;63;61;82;18;23;24;84,10,9.11,77.78445512820512,0.5867736274615313,2843.85556435585
1554,0,77;33;29;34;58;1;11;55;32;42,10,8.35,74.27884615384616,0.6836543728907903,2846.513406276703
1555,1,15;79;90;5;56;37;21;57;14;49,10,8.64,77.2636217948718,0.6083211807104257,2847.235960483551
1556,3,27;48;96;17;91;47;74;45;87;9,10,8.89,80.29847756410257,0.5357194210474308,2849.669835805893
1557,4,92;76;51;62;2;88;35;94;86;73,10,8.23,77.25360576923077,0.5761174265390787,2850.29256439209
1558,0,50;33;10;6;58;83;77;69;34;55,10,5.75,80.5889423076923,0.5360743407255564,2853.1577961444855
1559,2,64;63;46;22;41;0;18;39;59;97,10,8.67,80.05809294871794,0.53197381626337,2853.4965438842773
1560,1,31;56;21;57;26;40;14;90;79;5,10,9.22,75.18028846153847,0.6449238994182684,2857.0183663368225
1561,4,51;80;35;62;75;43;2;70;7;86,10,8.01,75.99158653846153,0.5919063882185862,2859.1699912548065
1562,3,30;38;20;54;17;48;74;45;47;9,10,8.89,77.49399038461539,0.5504144877195358,2859.7398779392242
1563,0,50;77;11;72;83;52;34;29;6;42,10,8.42,76.5224358974359,0.5764943422415317,2862.2168254852295
1564,2,85;63;22;18;46;39;16;60;61;89,10,9.08,73.81810897435898,0.715669429455048,2863.1875195503235
1565,1,14;66;57;21;90;49;79;31;15;99,10,7.72,78.44551282051282,0.5615026771258085,2865.32564163208
1566,4,88;25;12;73;92;76;70;53;51;75,10,8.24,78.19511217948718,0.6021198844298338,2867.963719367981
1567,3,8;17;38;91;87;47;81;27;28;74,10,8.82,80.25841346153847,0.530791047291878,2869.0871891975403
1568,0,42;55;10;1;6;83;58;34;11;50,10,8.33,75.69110576923077,0.6062960078318914,2871.1113770008087
1569,2,64;36;84;61;39;19;97;60;41;89,10,9.14,80.30849358974359,0.5378556839930706,2872.9563477039337
1570,1,56;5;14;79;40;90;57;71;21;66,10,8.92,74.2588141025641,0.6686487071789228,2874.8925292491913
1571,4,76;75;7;73;70;92;53;94;67;62,10,8.24,79.63741987179488,0.5378904552795948,2876.8339850902557
1572,3,8;54;65;3;28;45;9;87;47;27,10,8.86,81.77083333333333,0.5005887597799301,2878.47065281868
1573,0,11;50;68;1;55;34;29;32;52;69,10,7.61,78.65584935897436,0.5609849309309934,2879.3173348903656
1574,2,59;36;39;63;16;46;85;89;60;78,10,6.28,74.79967948717949,0.6240986581796255,2879.9567511081696
1575,1,21;26;44;56;71;99;66;13;31;5,10,9.03,74.14863782051282,0.655774535659032,2884.4937942028046
1576,4,70;73;53;94;76;35;7;92;75;51,10,8.24,80.3485576923077,0.5247690903070645,2885.6196472644806
